entry,at,order
"The player ""teddye @ kOMtSCwNxC"" passed the room ownership to ""dk @ IB1rRLac0F"".",2023-02-17T23:13:39.664Z,167667561966400
"The player ""teddye @ kOMtSCwNxC"" quits the game with a stack of 0.00.",2023-02-17T23:08:06.741Z,167667528674100
"-- ending hand #67 --",2023-02-17T23:08:00.735Z,167667528073503
"""teddye @ kOMtSCwNxC"" shows a J♠, J♥.",2023-02-17T23:08:00.735Z,167667528073502
"""dk @ IB1rRLac0F"" collected 44.80 from pot with Two Pair, 3's & 2's (combination: 3♥, 3♦, 2♣, 2♦, 10♣)",2023-02-17T23:08:00.735Z,167667528073501
"""dk @ IB1rRLac0F"" shows a 3♥, 2♣.",2023-02-17T23:08:00.735Z,167667528073500
"""teddye @ kOMtSCwNxC"" calls 17.00 and go all in",2023-02-17T23:07:59.923Z,167667527992300
"""dk @ IB1rRLac0F"" raises to 17.00",2023-02-17T23:07:58.795Z,167667527879500
"""teddye @ kOMtSCwNxC"" bets 10.80",2023-02-17T23:07:55.457Z,167667527545700
"River: 3♦, 9♣, 4♣, 10♣ [2♦]",2023-02-17T23:07:53.130Z,167667527313000
"""dk @ IB1rRLac0F"" calls 3.60",2023-02-17T23:07:52.261Z,167667527226100
"""teddye @ kOMtSCwNxC"" bets 3.60",2023-02-17T23:07:51.268Z,167667527126800
"Turn: 3♦, 9♣, 4♣ [10♣]",2023-02-17T23:07:49.232Z,167667526923200
"""dk @ IB1rRLac0F"" calls 1.20",2023-02-17T23:07:48.395Z,167667526839500
"""teddye @ kOMtSCwNxC"" bets 1.20",2023-02-17T23:07:47.386Z,167667526738600
"Flop:  [3♦, 9♣, 4♣]",2023-02-17T23:07:44.925Z,167667526492500
"""dk @ IB1rRLac0F"" calls 0.60",2023-02-17T23:07:44.029Z,167667526402900
"""teddye @ kOMtSCwNxC"" raises to 0.60",2023-02-17T23:07:43.038Z,167667526303800
"""dk @ IB1rRLac0F"" calls 0.20",2023-02-17T23:07:40.551Z,167667526055100
